ref	object	object_type	peeled_object	peeled_type	created_at	subject	original_url	commit_url
refs/tags/v4.16-rc2	8a1eab637309319aee4caa10b196eb7327b549ae	tag	91ab883eb21325ad80f3473633f794c78ac87f51	commit	2018-02-18T17:29:49-08:00	Linux 4.16-rc2	https://github.com/extfuse/linux/releases/tag/v4.16-rc2	https://github.com/extfuse/linux/commit/91ab883eb21325ad80f3473633f794c78ac87f51
refs/tags/v4.16-rc3	671e0d17675c17d89086e353935bf718e8096b29	tag	4a3928c6f8a53fa1aed28ccba227742486e8ddcb	commit	2018-02-25T18:50:55-08:00	Linux 4.16-rc3	https://github.com/extfuse/linux/releases/tag/v4.16-rc3	https://github.com/extfuse/linux/commit/4a3928c6f8a53fa1aed28ccba227742486e8ddcb
refs/tags/v4.16-rc4	25876d753c615f7b595a8da1746fa1a8832c7fa3	tag	661e50bc853209e41a5c14a290ca4decc43cbfd1	commit	2018-03-04T14:54:20-08:00	Linux 4.16-rc4	https://github.com/extfuse/linux/releases/tag/v4.16-rc4	https://github.com/extfuse/linux/commit/661e50bc853209e41a5c14a290ca4decc43cbfd1
refs/tags/v4.16-rc5	7169c8da1f5d4497ca62c507a735ed1e5dc67af8	tag	0c8efd610b58cb23cefdfa12015799079aef94ae	commit	2018-03-11T17:25:21-07:00	Linux 4.16-rc5	https://github.com/extfuse/linux/releases/tag/v4.16-rc5	https://github.com/extfuse/linux/commit/0c8efd610b58cb23cefdfa12015799079aef94ae
refs/tags/v4.16-rc6	49d8069446d565d0a796edc048b273620e74bdee	tag	c698ca5278934c0ae32297a8725ced2e27585d7f	commit	2018-03-18T17:48:54-07:00	Linux 4.16-rc6	https://github.com/extfuse/linux/releases/tag/v4.16-rc6	https://github.com/extfuse/linux/commit/c698ca5278934c0ae32297a8725ced2e27585d7f
refs/tags/v4.16-rc7	a1fbb3e9a14d2073b62404ff87bf3d1c077579ea	tag	3eb2ce825ea1ad89d20f7a3b5780df850e4be274	commit	2018-03-25T12:44:46-10:00	Linux 4.16-rc7	https://github.com/extfuse/linux/releases/tag/v4.16-rc7	https://github.com/extfuse/linux/commit/3eb2ce825ea1ad89d20f7a3b5780df850e4be274
refs/tags/v4.17	42308afa917ad74c85ad01bad5ffbe04e7cc6f76	tag	29dcea88779c856c7dc92040a0c01233263101d4	commit	2018-06-03T14:15:30-07:00	Linux 4.17	https://github.com/extfuse/linux/releases/tag/v4.17	https://github.com/extfuse/linux/commit/29dcea88779c856c7dc92040a0c01233263101d4
refs/tags/v4.17-rc1	a79c33a10ce2764c62fb8af6cbb571752d55c1c0	tag	60cc43fc888428bb2f18f08997432d426a243338	commit	2018-04-15T18:24:29-07:00	Linux 4.17-rc1	https://github.com/extfuse/linux/releases/tag/v4.17-rc1	https://github.com/extfuse/linux/commit/60cc43fc888428bb2f18f08997432d426a243338
refs/tags/v4.17-rc2	2010cd502831cd3e64db447fd892821446d92d0a	tag	6d08b06e67cd117f6992c46611dfb4ce267cd71e	commit	2018-04-22T19:20:30-07:00	Linux 4.17-rc2	https://github.com/extfuse/linux/releases/tag/v4.17-rc2	https://github.com/extfuse/linux/commit/6d08b06e67cd117f6992c46611dfb4ce267cd71e
refs/tags/v4.17-rc3	51b71dd7b97fb2f1605cba6277e72322fdf35d04	tag	6da6c0db5316275015e8cc2959f12a17584aeb64	commit	2018-04-29T14:17:50-07:00	Linux v4.17-rc3	https://github.com/extfuse/linux/releases/tag/v4.17-rc3	https://github.com/extfuse/linux/commit/6da6c0db5316275015e8cc2959f12a17584aeb64
